Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01342.01","Pears","2019","2019","t","6966","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01375","Pistachios, in shell","2019","2019","t","2768.22","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01346","Plums and sloes","2019","2019","t","38321","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2019","2019","t","921122","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2019","2019","t","382500","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2019","2019","t","73120","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01444","Sesame seed","2019","2019","t","33139","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01801","Sugar beet","2019","2019","t","9284","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2019","2019","t","36538","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01445","Sunflower seed","2019","2019","t","882","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01376","Walnuts, in shell","2019","2019","t","14690","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01221","Watermelons","2019","2019","t","846990","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2019","2019","t","4890000","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01341","Apples","2019","2019","t","107713","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01343","Apricots","2019","2019","t","4875","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2019","2019","t","7942","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2019","2019","t","24782","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01702","Broad beans and horse beans, dry","2019","2019","t","207.3","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5510","Production","01243","Broad beans and horse beans, green","2019","2019","t","107.95","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5510","Production","01212","Cabbages","2019","2019","t","70411","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01229","Cantaloupes and other melons","2019","2019","t","40713","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01251","Carrots and turnips","2019","2019","t","13571","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01213","Cauliflowers and broccoli","2019","2019","t","7908","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","2019","2019","t","19681","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01373","Chestnuts, in shell","2019","2019","t","5846","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","t","85061","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01232","Cucumbers and gherkins","2019","2019","t","126632","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01314","Dates","2019","2019","t","14035","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01233","Eggplants (aubergines)","2019","2019","t","31122","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01315","Figs","2019","2019","t","22024","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01330","Grapes","2019","2019","t","189904","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01252","Green garlic","2019","2019","t","15056","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2019","2019","t","1773.21","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","01254","Leeks and other alliaceous vegetables","2019","2019","t","36894","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01322","Lemons and limes","2019","2019","t","4075","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01214","Lettuce and chicory","2019","2019","t","21502","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2019","2019","t","388951","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01270","Mushrooms and truffles","2019","2019","t","100","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2019","2019","t","33382","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01239.01","Okra","2019","2019","t","9121.17","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5510","Production","01450","Olives","2019","2019","t","98313","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","t","109368","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01253.01","Onions and shallots, green","2019","2019","t","40261","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01323","Oranges","2019","2019","t","11556","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01241.90","Other beans, green","2019","2019","t","12248","A","Official figure"
