Area,Item,Value
Antigua and Barbuda,Freshwater Fish,1.16
Antigua and Barbuda,Demersal Fish,3.78
Antigua and Barbuda,Pelagic Fish,10.61
Antigua and Barbuda,"Marine Fish, Other",25.12
Antigua and Barbuda,Crustaceans,7.09
Antigua and Barbuda,Cephalopods,0.25
Antigua and Barbuda,"Molluscs, Other",6.49
Antigua and Barbuda,Aquatic Plants,0
Antigua and Barbuda,Infant food,0.68
Antigua and Barbuda,Miscellaneous,6.96
Argentina,Wheat and products,117.84
Argentina,Rice and products,11.23
Argentina,Maize and products,3.65
Argentina,Oats,1.01
Argentina,"Cereals, Other",1.22
Argentina,Cassava and products,1.85
Argentina,Potatoes and products,40.41
Argentina,Sweet potatoes,2.56
Argentina,"Roots, Other",0
Argentina,Sugar (Raw Equivalent),38.07
Argentina,"Sweeteners, Other",8.34
Argentina,Honey,0.05
Argentina,Beans,2.11
Argentina,Peas,2.01
Argentina,"Pulses, Other and products",1.76
Argentina,Nuts and products,0.31
Argentina,Soyabeans,0.01
Argentina,Groundnuts,0.43
Argentina,Rape and Mustardseed,0
Argentina,Coconuts - Incl Copra,0.08
Argentina,Sesame seed,0
Argentina,Olives (including preserved),0.6
Argentina,"Oilcrops, Other",0
Argentina,Soyabean Oil,2.75
Argentina,Groundnut Oil,0.21
Argentina,Sunflowerseed Oil,11.17
Argentina,Rape and Mustard Oil,0.07
Argentina,Cottonseed Oil,0.24
Argentina,Palmkernel Oil,0
Argentina,Palm Oil,0
Argentina,Coconut Oil,0.07
Argentina,Sesameseed Oil,0
Argentina,Olive Oil,0.31
Argentina,Maize Germ Oil,0.39
Argentina,"Oilcrops Oil, Other",0.62
Argentina,Tomatoes and products,22.87
Argentina,Onions,9.99
Argentina,"Vegetables, other",37.86
Argentina,"Oranges, Mandarines",26.26
Argentina,"Lemons, Limes and products",16.59
Argentina,Grapefruit and products,2.18
Argentina,"Citrus, Other",0.03
Argentina,Bananas,12.66
Argentina,Plantains,0.03
Argentina,Apples and products,5.39
Argentina,Pineapples and products,0.68
Argentina,Dates,0.01
Argentina,Grapes and products (excl wine),5.58
Argentina,"Fruits, other",11.83
Argentina,Coffee and products,0.82
Argentina,Cocoa Beans and products,0
Argentina,Tea (including mate),24.14
Argentina,Pepper,0.03
Argentina,Pimento,0.1
Argentina,Cloves,0
Argentina,"Spices, Other",0.12
Argentina,Bovine Meat,47.98
Argentina,Mutton & Goat Meat,1.34
Argentina,Poultry Meat,45.12
Argentina,"Meat, Other",1.21
