,,,2019 [2019],2019 [2019],2019 [2019]
,,,Unit,Value,Flag Description
Albania [3],Food supply (kcal/capita/day),Sugar non-centrifugal [2541],,,
Albania [3],Food supply (kcal/capita/day),Sunflower seed [2557],,,
Albania [3],Food supply (kcal/capita/day),Sunflowerseed Oil [2573],kcal/capita/day,127,Calculated data [Fc]
Albania [3],Food supply (kcal/capita/day),Sweet potatoes [2533],kcal/capita/day,0,Calculated data [Fc]
Albania [3],Food supply (kcal/capita/day),"Sweeteners, Other [2543]",kcal/capita/day,27,Calculated data [Fc]
Albania [3],Food supply (kcal/capita/day),Tea (including mate) [2635],kcal/capita/day,0,Calculated data [Fc]
Albania [3],Food supply (kcal/capita/day),Tomatoes and products [2601],kcal/capita/day,39,Calculated data [Fc]
Albania [3],Food supply (kcal/capita/day),"Vegetables, other [2605]",kcal/capita/day,137,Calculated data [Fc]
Albania [3],Food supply (kcal/capita/day),Wheat and products [2511],kcal/capita/day,999,Calculated data [Fc]
Albania [3],Food supply (kcal/capita/day),Yams [2535],,,
Algeria [4],Food supply (kcal/capita/day),Apples and products [2617],kcal/capita/day,16,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Aquatic Plants [2775],kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Bananas [2615],kcal/capita/day,7,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Barley and products [2513],kcal/capita/day,82,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Beans [2546],kcal/capita/day,16,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),"Beverages, Fermented [2657]",kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Bovine Meat [2731],kcal/capita/day,22,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),"Butter, Ghee [2740]",kcal/capita/day,9,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Cassava and products [2532],kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Cephalopods [2766],kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),"Cereals, Other [2520]",kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Cocoa Beans and products [2633],kcal/capita/day,4,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Coconut Oil [2578],kcal/capita/day,1,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Coconuts - Incl Copra [2560],kcal/capita/day,1,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Coffee and products [2630],kcal/capita/day,4,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Cottonseed Oil [2575],,,
Algeria [4],Food supply (kcal/capita/day),Cottonseed [2559],,,
Algeria [4],Food supply (kcal/capita/day),Cream [2743],kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Crustaceans [2765],kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Dates [2619],kcal/capita/day,121,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Eggs [2744],kcal/capita/day,22,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),"Fruits, other [2625]",kcal/capita/day,31,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Grapefruit and products [2613],kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Grapes and products (excl wine) [2620],kcal/capita/day,20,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Groundnut Oil [2572],kcal/capita/day,12,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Groundnuts [2552],kcal/capita/day,4,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Honey [2745],kcal/capita/day,1,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Infant food [2680],kcal/capita/day,6,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),"Lemons, Limes and products [2612]",kcal/capita/day,1,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Maize and products [2514],kcal/capita/day,127,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),"Meat, Aquatic Mammals [2768]",,,
Algeria [4],Food supply (kcal/capita/day),Milk - Excluding Butter [2848],kcal/capita/day,240,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Millet and products [2517],,,
Algeria [4],Food supply (kcal/capita/day),"Molluscs, Other [2767]",kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Mutton & Goat Meat [2732],kcal/capita/day,43,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Nuts and products [2551],kcal/capita/day,16,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Oats [2516],kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),"Oilcrops, Other [2570]",kcal/capita/day,0,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Olives (including preserved) [2563],kcal/capita/day,9,Calculated data [Fc]
Algeria [4],Food supply (kcal/capita/day),Onions [2602],kcal/capita/day,37,Calculated data [Fc]
